Dataset,Stimulus,Attractive,Competent,Trustworthy,Dominant,Mean,Frightening,Extroverted,Threatening,Likeable,Gender,Category
Original300,f42887_e_000,2.4,3.5,3.965517241,3.913,5.2222,4,4.303,4.5238,3.8125,0.75,unambiguously female
Original300,f42887_e_001,4.485714286,5.113636364,4.793103448,5.087,4.8889,4.4643,5.1515,4.381,5.0625,0.6,ambiguous
Original300,f42887_e_002,4.285714286,5.522727273,5.413793103,6.2174,4.2593,4.8929,5.8788,5,5.5,0,unambiguously male
Original300,f42887_e_003,3.085714286,4.636363636,4.24137931,5.9565,5.8519,4.6786,4.6364,6,5.0938,0,unambiguously male
Original300,f42887_e_004,4.285714286,5.25,4.931034483,6.9565,5.7037,5.7857,5.4545,6.0952,5.5,0,unambiguously male
Original300,f42887_e_005,4.514285714,5.909090909,4.896551724,7.0435,5.6667,4.9643,5.0606,5.2857,5.3438,0,unambiguously male
Original300,f42887_e_006,4.714285714,5.363636364,5.034482759,6.8696,5.2963,4.1429,4.9394,4.9524,5.75,0,unambiguously male
Original300,f42887_e_007,4.314285714,5.136363636,5.655172414,4.7826,4.1111,3.5357,5.697,3.8095,5.3125,0.85,unambiguously female
Original300,f42887_e_008,4.685714286,5.886363636,6.103448276,6.1304,4.1852,3.1429,5.7879,3.6667,6.0312,0,unambiguously male
Original300,f42887_e_009,2.685714286,4.909090909,5,5.913,5.4444,4.9643,5.7273,5.7619,4.9062,0,unambiguously male
Original300,f42887_e_010,2.142857143,3.818181818,2.931034483,6.1739,6.4444,6.25,3.5455,6.8095,3.9062,0,unambiguously male
Original300,f42887_e_011,4.171428571,5.954545455,5.310344828,7.2174,5.5926,4.5714,5.9697,4.7619,5.5938,0,unambiguously male
Original300,f42887_e_012,3.457142857,4.568181818,4.896551724,4.3043,4.1852,4.1071,5,3.8095,5.3438,0.9,unambiguously female
Original300,f42887_e_013,5.085714286,5.931818182,5.551724138,5.1304,4.4815,3.4286,5.5455,3.8095,5.9688,1,unambiguously female
Original300,f42887_e_014,2.6,4.5,4.172413793,6.2609,5.6296,5.1429,4.3333,5.7619,4.5,0,unambiguously male
Original300,f42887_e_015,3.028571429,4.386363636,3.75862069,6.7391,6.5185,6.3571,3.8485,6.7619,4.1562,0,unambiguously male
Original300,f42887_e_016,2.885714286,4.090909091,3.206896552,4.1739,6,6.0357,4.5455,5.3333,4.3125,0.9,unambiguously female
Original300,f42887_e_017,3.971428571,4.681818182,4.724137931,4.2609,4.4815,4.1071,4.7576,3.9048,5.0625,0.85,unambiguously female
Original300,f42887_e_018,5.028571429,5.5,5.724137931,5.6087,5.037,4.3214,4.7273,5.0952,5.5938,0.1,unambiguously male
Original300,f42887_e_019,2.257142857,3.704545455,3.965517241,6.6957,6.1111,5.5357,4.697,6.2381,4.2188,0,unambiguously male
Original300,f42887_e_020,5.342857143,5.454545455,5.137931034,4.6957,4.4815,3.7143,5.1818,4.0952,5.5625,0.85,unambiguously female
Original300,f42887_e_021,3.8,4.954545455,4.931034483,5,5.037,4.1071,4.2424,5.1905,5.25,0.1,unambiguously male
Original300,f42887_e_022,4.485714286,5.022727273,5.482758621,4.6957,4.2963,3.7857,5.9394,4.619,5.7188,0.75,unambiguously female
Original300,f42887_e_023,4.285714286,5.318181818,4.620689655,5.0435,4.7037,3.6429,5.2121,4.3333,4.8438,0.9,unambiguously female
Original300,f42887_e_024,3.942857143,4.113636364,4.655172414,5.6087,5.2963,3.6071,4.3636,4.5238,4.9688,0,unambiguously male
Original300,f42887_e_025,4.057142857,5.159090909,5.413793103,5.4348,4.5926,3.3214,5.7273,4.381,5.7188,0.05,unambiguously male
Original300,f42887_e_026,3.285714286,4.681818182,3.931034483,6.9565,6.3333,6,4.0909,6.5714,4.8125,0.05,unambiguously male
Original300,f42887_e_027,3.485714286,5.340909091,5.068965517,5.2609,4.6667,4.75,5,5.381,5.0625,0,unambiguously male
Original300,f42887_e_028,4.828571429,4.954545455,5.344827586,4.8261,4.0741,3.6429,5.1515,4.1429,5.5,0.75,unambiguously female
Original300,f42887_e_029,3.314285714,4.636363636,4.24137931,4.6522,4.7407,4.8929,4.6061,4.7143,4.4688,0.7,ambiguous
Original300,f42887_e_030,3.314285714,4.090909091,4.724137931,3.6522,4.7778,4.1786,3.8485,4.5714,4.4688,0.35,ambiguous
Original300,f42887_e_031,2.571428571,3.886363636,3.310344828,3.9565,5.4815,6.1071,3.0606,5.5714,4.1875,0.1,unambiguously male
Original300,f42887_e_032,3.114285714,3.886363636,3.724137931,6.6957,6.1111,5.8571,4.3939,6.4286,4.7812,0,unambiguously male
Original300,f42887_e_033,3.628571429,4.204545455,5.172413793,3.087,4.0741,3.4643,5.1515,3.0952,4.9375,0.9,unambiguously female
Original300,f42887_e_034,3.8,4.954545455,4.793103448,5.6087,5.0741,4.5,4.9697,4.8571,5.3125,0.15,unambiguously male
Original300,f42887_e_035,2.542857143,3.75,4.517241379,4.1304,4.7037,5.6071,3.697,4.7619,4.9062,0.25,unambiguously male
Original300,f42887_e_036,3.828571429,5.272727273,5.068965517,5.4348,4.9259,4.1786,5.2121,4.5714,5.375,0.05,unambiguously male
Original300,f42887_e_037,4.657142857,5.022727273,4.068965517,6.8261,5.8519,5.8929,4.8485,6.8571,5.2188,0.1,unambiguously male
Original300,f42887_e_038,3.171428571,3.954545455,3.482758621,3.6522,5.4815,5.2143,3,4.5714,4.4688,0.45,ambiguous
Original300,f42887_e_039,3.885714286,4.704545455,4.75862069,4.1739,4.1852,4.6071,5.6364,3.7143,4.75,0.85,unambiguously female
Original300,f42887_e_040,3.057142857,4.340909091,3.896551724,5.2609,5.9259,4.8929,4.2121,4.8571,4.125,0.65,ambiguous
Original300,f42887_e_041,4.685714286,5.295454545,5.586206897,6.1304,5.1111,4.1786,5.2727,4.9524,5.375,0,unambiguously male
Original300,f42887_e_042,3.542857143,5.090909091,5.482758621,4.6957,4.7037,3.8214,5.0606,3.9048,4.875,0.1,unambiguously male
Original300,f42887_e_043,3.142857143,4.113636364,4.482758621,3.1304,4.3704,4.75,5.2121,4.6667,5.0938,0.7,ambiguous
Original300,f42887_e_044,4.828571429,4.090909091,5.137931034,3.7391,4.8889,3.6071,4.7273,3.381,5.0312,0.85,unambiguously female
Original300,f42887_e_045,3.828571429,5,4.827586207,4.8696,5.2593,4.3571,4.5152,5.1429,5.5312,0.1,unambiguously male
Original300,f42887_e_046,2.714285714,4.159090909,4.75862069,5.8696,5.3333,4.8571,4.3333,5.7619,4.5938,0,unambiguously male
Original300,f42887_e_047,3.285714286,4.545454545,3.689655172,6.3478,6.1852,5,4.2727,5.2381,4.75,0.15,unambiguously male
Original300,f42887_e_048,3.228571429,4.159090909,5.965517241,3.5217,3.2593,3.1429,5.697,3.1905,5.5,0.5,ambiguous
Original300,f42887_e_049,3.828571429,4.954545455,4.862068966,5.6957,4.7407,4.4286,5.2727,4.8571,5.75,0,unambiguously male
Original300,f42887_e_050,4.771428571,5.159090909,4.413793103,5.2609,5.5556,4.25,5.303,4.4762,4.9688,0.5,ambiguous
Original300,f42887_e_051,3.028571429,3.5,4.137931034,2.7826,4.6667,5,3.8788,4.1429,4.1562,0.95,unambiguously female
Original300,f42887_e_052,2.942857143,3.659090909,4.24137931,4.3043,5.4815,4.0714,3.3333,4.7619,4.7812,0.15,unambiguously male
Original300,f42887_e_053,4.828571429,4.977272727,5.275862069,3.8696,4.2593,3.75,5.3939,3.8571,5.9062,1,unambiguously female
Original300,f42887_e_054,4.228571429,5.227272727,4.448275862,5.4348,5.0741,4.8214,4.4545,4.8571,5.375,0.1,unambiguously male
Original300,f42887_e_055,4.228571429,4.909090909,5.517241379,4.2174,4.1852,3.5,5.9394,3.7619,6.125,1,unambiguously female
Original300,f42887_e_056,3.914285714,4.522727273,4.655172414,4.6522,4.7037,3.5,4.697,3.8571,5.1875,0.2,unambiguously male
Original300,f42887_e_057,3.428571429,4.772727273,5.620689655,5.087,4.4074,5,5.5152,4.381,5.4062,0.1,unambiguously male
Original300,f42887_e_058,2.8,4.068181818,3.827586207,6.8696,6.7037,5.1786,5.697,5.7619,4.375,0,unambiguously male
Original300,f42887_e_059,3,4.431818182,4.551724138,5.9565,6,4.9286,4.5455,6.4762,4.8438,0.05,unambiguously male
Original300,f42887_e_060,3.828571429,5.75,4.75862069,5.8696,5.037,5.0714,5.6667,4.9048,5.375,0.1,unambiguously male
Original300,f42887_e_061,3.714285714,4.727272727,5.068965517,4.087,4.6296,3.6786,5.9091,3.7619,5.3125,0.4,ambiguous
Original300,f42887_e_062,4.257142857,5.318181818,5.275862069,4.3043,4.4815,3.25,5.4242,3.8571,5.7812,0.85,unambiguously female
Original300,f42887_e_063,2.857142857,4.522727273,4.24137931,5.3913,5.7778,5.5,4.9091,5.4762,4.4062,0.25,unambiguously male
Original300,f42887_e_064,3.4,4.977272727,4.724137931,5.6087,5.037,4.1429,4.9394,5.4286,4.4688,0,unambiguously male
Original300,f42887_e_065,3.971428571,5.090909091,4.24137931,7.5652,6.2963,5.5,4.7879,6.2381,5.1875,0,unambiguously male
Original300,f42887_e_066,4.228571429,5.477272727,4.551724138,6.7391,5.7037,4.5357,5.0606,5.0476,4.75,0,unambiguously male
Original300,f42887_e_067,4.571428571,5.227272727,4.551724138,5.6522,4.6667,4.0714,4.7879,5.0476,5.6875,0,unambiguously male
Original300,f42887_e_068,4.571428571,5.409090909,5.517241379,5.7391,4.5556,4.1071,5.4848,4.7619,5.6562,0,unambiguously male
Original300,f42887_e_069,3.457142857,4.068181818,4.448275862,5.1739,5.5926,4.8929,3.8182,5.8571,4.3125,0.1,unambiguously male
Original300,f42887_e_070,3.6,5.25,5.448275862,5.4348,3.8148,3.7857,5.8788,4.2857,5.2188,0.2,unambiguously male
Original300,f42887_e_071,3.685714286,4.5,3.931034483,5,5.5185,4.0357,4.9091,3.8571,4.625,0.75,unambiguously female
Original300,f42887_e_072,3.085714286,4.659090909,4.862068966,5.5652,5.3333,4.8571,4.6061,4.8095,4.375,0.05,unambiguously male
Original300,f42887_e_073,3.457142857,4.75,4.724137931,4.913,4.7407,4.1429,5.4848,4.4286,5.0938,0,unambiguously male
Original300,f42887_e_074,3.257142857,4.159090909,3.965517241,5.5217,5.8148,5.5714,4.7879,5.9524,4.625,0.05,unambiguously male
Original300,f42887_e_075,3.257142857,5.477272727,4.896551724,4.4348,4.8519,4.8214,5.9394,4.3333,4.875,0.85,unambiguously female
Original300,f42887_e_076,3.628571429,5.431818182,5.689655172,5.7391,4.037,4.2857,5.5758,4.1905,5.3125,0.05,unambiguously male
Original300,f42887_e_077,3.771428571,4.75,4.551724138,6.2174,5.8519,4.5714,4.4242,5.619,5.125,0,unambiguously male
Original300,f42887_e_078,3.857142857,4.931818182,5.448275862,3.5217,4.3704,3.4286,4.4545,3.1429,5.7188,0.8,unambiguously female
Original300,f42887_e_079,5.342857143,5.818181818,5.551724138,5.3478,5.3704,4.1786,4.8182,4.4762,5.75,0.9,unambiguously female
Original300,f42887_e_080,4.057142857,4.886363636,4.310344828,7.4783,5.7407,4.6429,4.4848,6.1429,5.3125,0,unambiguously male
Original300,f42887_e_081,3.685714286,5.431818182,4.965517241,5.5217,4.9259,4.2857,5.1515,5.0476,5,0,unambiguously male
Original300,f42887_e_082,3.428571429,4.5,4.827586207,4.6957,4.8148,4.4643,5.4242,4.6667,5.2188,0.2,unambiguously male
Original300,f42887_e_083,3.142857143,4.454545455,4.034482759,5.4348,6.037,5.25,4.3333,5.7619,4,0.1,unambiguously male
Original300,f42887_e_084,5.371428571,5.75,5.137931034,6.5217,5.1852,4.5,4.8485,5.0476,5.7812,0,unambiguously male
Original300,f42887_e_085,3.314285714,4.931818182,5.24137931,3.6957,4.2593,3.75,4.9697,4.1429,5,0.9,unambiguously female
Original300,f42887_e_086,4.657142857,6.181818182,5.551724138,6.4783,5.2593,4.2143,5.1212,5.2857,5.25,0,unambiguously male
Original300,f42887_e_087,3.171428571,4.227272727,4.275862069,4.1739,4.4815,4.6786,4.1515,4.7143,4.5,0.35,ambiguous
Original300,f42887_e_088,4.628571429,5.772727273,4.75862069,6.087,5.8519,4.5357,4.4242,4.9048,5.5625,0.5,ambiguous
Original300,f42887_e_089,2.342857143,3.795454545,4.689655172,3.2174,4.3333,4.1071,5.1212,3.619,4.8125,0.8,unambiguously female
Original300,f42887_e_090,4.142857143,4.931818182,4.310344828,4.4783,5.5556,4.5357,5.5152,4,5.25,0.95,unambiguously female
Original300,f42887_e_091,2.885714286,3.840909091,4.413793103,3.5652,4.5185,3.6786,4.0303,3.7143,4.7812,0.65,ambiguous
Original300,f42887_e_092,3.8,5.272727273,4.379310345,7.2174,5.9259,5.0357,5.1212,6.1905,5.1562,0,unambiguously male
Original300,f42887_e_093,2.571428571,3.795454545,4.689655172,3.8696,4.7407,4.5,5.3333,4.5238,4.7188,0.7,ambiguous
Original300,f42887_e_094,2.742857143,4.159090909,4.586206897,4.087,4.5556,4.1429,4.697,4.0476,4.5312,0.55,ambiguous
Original300,f42887_e_095,2.742857143,3.977272727,4.275862069,4,4.5926,4.9643,4.9697,4.619,3.9688,0.75,unambiguously female
Original300,f42887_e_096,4.171428571,4.840909091,4.551724138,6,5.7037,3.8214,4.8182,5.381,5.8438,0,unambiguously male
Original300,f42887_e_097,2.542857143,4.159090909,5.103448276,5,4.3333,4.25,5.5758,4.1905,4.4688,0.75,unambiguously female
Original300,f42887_e_098,4.485714286,5.159090909,5.620689655,4.2174,4.4444,3.4286,5.5455,3.381,5.125,1,unambiguously female
Original300,f42887_e_099,2.571428571,3.863636364,4.448275862,3.2174,4.5556,4.9286,4.7273,4.1429,4.5938,0.8,unambiguously female
Original300,f42887_e_100,5.142857143,5.340909091,5.448275862,4.2609,4.4444,3.4286,4.3939,3.5238,5.8125,0.9,unambiguously female
Original300,f42887_e_101,1.971428571,3.477272727,3.310344828,6.2174,6.6667,6.0357,4.4545,6.1429,3.6562,0.1,unambiguously male
Original300,f42887_e_102,3.971428571,5.227272727,5.137931034,4.8261,4.4815,3.6071,5.6061,3.4762,5.4688,0.95,unambiguously female
Original300,f42887_e_103,2.514285714,3.863636364,4.482758621,3.3043,4.6296,4.75,5.3636,4.6667,4.2812,0.9,unambiguously female
Original300,f42887_e_104,4.514285714,5.340909091,4.827586207,7.087,5.7037,4.6071,5.303,5.4762,5.4375,0,unambiguously male
Original300,f42887_e_105,3.514285714,4.772727273,5.275862069,4.6087,4.5185,3.5,5.0303,3.2381,4.8438,0.6,ambiguous
Original300,f42887_e_106,3.942857143,5.863636364,6.103448276,6.2174,4.4444,3.7143,5.6364,4.7619,5.4062,0,unambiguously male
Original300,f42887_e_107,3.428571429,4.090909091,4.862068966,4.2174,4.6296,5.2143,5.4545,4.5714,4.6875,0.6,ambiguous
Original300,f42887_e_108,3.457142857,5.022727273,4.896551724,4.7391,4.7037,3.7143,4.4545,4.5238,5.375,0.5,ambiguous
Original300,f42887_e_109,4.228571429,4.5,5.24137931,4.5217,4.4074,3.6071,5.1212,3.9524,4.9688,0.6,ambiguous
Original300,f42887_e_110,4.2,4.818181818,4.24137931,4.6522,4.8889,4.7857,4.5758,4.8095,4.9688,0.4,ambiguous
Original300,f42887_e_111,3.057142857,4.454545455,5.103448276,4.4783,5,4.9643,5.4848,4.3333,4.5938,0.25,unambiguously male
Original300,f42887_e_112,4.942857143,5.818181818,5.344827586,5.3913,4.7778,4.3214,5.8182,4.2381,6.0625,0.15,unambiguously male
Original300,f42887_e_113,4.971428571,5.5,4.655172414,5.9565,5.8148,4.3571,4.7273,5.2381,5.4375,0.15,unambiguously male
Original300,f42887_e_114,3.057142857,4.477272727,4.275862069,4.7826,5.1481,5.1429,4.4848,5.0952,4.5625,0.25,unambiguously male
Original300,f42887_e_115,4.6,5.181818182,5.724137931,4.0435,3.8519,3.3571,5.697,3.4762,5.1562,0.95,unambiguously female
Original300,f42887_e_116,3.228571429,4.681818182,4.034482759,5.3913,5.4074,4.9286,4.9091,4.9524,5.0938,0.35,ambiguous
Original300,f42887_e_117,2.857142857,5,4.827586207,5,4.2593,3.8571,5.2424,4.5714,5.1562,0.4,ambiguous
Original300,f42887_e_118,3.685714286,5.090909091,4.586206897,6.6087,6,4.8929,4.303,6,5,0.05,unambiguously male
Original300,f42887_e_119,4.657142857,5.659090909,4.310344828,6.4348,5.5926,5.3929,4.8788,5.2381,5.2812,0,unambiguously male
Original300,f42887_e_120,3.2,4.363636364,4.137931034,6.1739,6.2222,5.1429,4.7273,5.7143,4.5938,0.05,unambiguously male
Original300,f42887_e_121,4.057142857,5.272727273,4.862068966,7.3913,5.2963,4.3214,5.0303,5.9524,5.5938,0,unambiguously male
Original300,f42887_e_122,3.628571429,4.840909091,4.586206897,5,5.0741,4.9643,4.8182,5,4.6562,0.15,unambiguously male
Original300,f42887_e_123,2.742857143,4.136363636,3.413793103,6.5652,6.4815,5.9286,3.8182,6.9048,4.0625,0,unambiguously male
Original300,f42887_e_124,3.742857143,4.386363636,4.551724138,4.3913,4.6296,4.3571,5.3939,4.0952,5.125,0.65,ambiguous
Original300,f42887_e_125,3.6,4.386363636,5.172413793,3.7391,3.963,4.25,4.303,4,4.375,0.9,unambiguously female
Original300,f42887_e_126,3.314285714,4.613636364,4.965517241,3.4783,4.1852,3.4643,5.3636,3.2381,4.9375,0.75,unambiguously female
Original300,f42887_e_127,3.542857143,5.363636364,4.965517241,5.913,4.7778,4.4286,6.0909,4.9048,5.2188,0.15,unambiguously male
Original300,f42887_e_128,3.8,4.772727273,4.517241379,4.2174,5.3333,5,5,4.5238,4.7188,0.9,unambiguously female
Original300,f42887_e_129,4.4,4.681818182,4.75862069,6.6087,5.5556,4.75,4.9394,5.3333,5.6875,0,unambiguously male
Original300,f42887_e_130,3.685714286,4.568181818,4.551724138,4.913,4.5556,4.4643,4.9394,4.3333,4.9062,0.75,unambiguously female
Original300,f42887_e_131,2.771428571,4.340909091,3.827586207,4.6522,5.5185,6.4286,5.6667,6.1429,4.2188,0.35,ambiguous
Original300,f42887_e_132,1.942857143,3.772727273,3.689655172,6.087,5.4815,5.5714,4.8485,6.2381,4.375,0,unambiguously male
Original300,f42887_e_133,4.228571429,4.795454545,5.103448276,4.7826,4.6667,4.1429,5.1818,3.8571,5.5,0.85,unambiguously female
Original300,f42887_e_134,3.028571429,4.409090909,4.482758621,4.0435,5.1852,4.3214,4.4242,4.9524,5.125,0.65,ambiguous
Original300,f42887_e_135,4.4,5.386363636,5.344827586,3.913,4,4.3571,6,4.0476,5.5625,1,unambiguously female
Original300,f42887_e_136,4.285714286,4.840909091,5.482758621,4.7391,4.1852,4.2143,5.5758,3.8571,5.3438,0.55,ambiguous
Original300,f42887_e_137,1.885714286,3.659090909,4.586206897,5.2609,4.6667,5.0357,4.4242,5.3333,4.6875,0,unambiguously male
Original300,f42887_e_138,3.228571429,4.227272727,3.862068966,6.3043,6.0741,6.25,4.1212,6.4762,4.875,0,unambiguously male
Original300,f42887_e_139,3.6,5.272727273,4.551724138,6,5.7037,4.75,4.2424,6.1429,5,0.05,unambiguously male
Original300,f42887_e_140,4.771428571,5.5,6.103448276,3.8696,3.8519,3.1429,6.3333,3.4286,6.4688,1,unambiguously female
Original300,f42887_e_141,3.6,4.818181818,4,6,5.7778,4.75,4.5152,5.8095,5.0312,0,unambiguously male
Original300,f42887_e_142,4.542857143,5.340909091,5.448275862,4.3913,4.1852,3.6071,5.3333,4.0476,6.0312,0.75,unambiguously female
Original300,f42887_e_143,4.257142857,5.431818182,5.448275862,3.6522,4.1111,3.8214,5.8788,3.7143,6.0938,0.9,unambiguously female
Original300,f42887_e_144,4.514285714,5.5,5.379310345,4.5217,4.3704,3.4643,5.303,3.2381,5.4688,0.7,ambiguous
Original300,f42887_e_145,3.342857143,4.818181818,4.551724138,4.5217,4.5556,4.5714,4.9697,4.0952,4.6562,0.85,unambiguously female
Original300,f42887_e_146,2.428571429,3.340909091,3.344827586,3.5652,5,4.7143,3.7576,4.9048,3.75,0.85,unambiguously female
Original300,f42887_e_147,3.2,4.613636364,3.862068966,7.0435,6.7407,5.9643,5.0909,6.7143,4.7188,0,unambiguously male
Original300,f42887_e_148,5.114285714,5.636363636,5.793103448,4.1304,4.4815,3.7143,5.7273,3.8571,6.0312,0.9,unambiguously female
