Stimulus,Valence,Power
f42887_e_000.jpg,-1.08266,-1.97271
f42887_e_001.jpg,0.3421,0.17054
f42887_e_002.jpg,0.71835,0.9472
f42887_e_003.jpg,-0.86263,0.59239
f42887_e_004.jpg,-0.32364,1.9167
f42887_e_005.jpg,0.04922,1.88619
f42887_e_006.jpg,0.4441,1.41071
f42887_e_007.jpg,1.25493,-0.34087
f42887_e_008.jpg,1.86057,0.76558
f42887_e_009.jpg,-0.41439,0.54017
f42887_e_010.jpg,-2.81253,0.11613
f42887_e_011.jpg,0.57649,1.87509
f42887_e_012.jpg,0.50312,-0.99693
f42887_e_013.jpg,1.617,0.65293
f42887_e_014.jpg,-1.2761,0.20645
f42887_e_015.jpg,-2.22586,0.98093
f42887_e_016.jpg,-1.68314,-0.5585
f42887_e_017.jpg,0.356,-0.82051
f42887_e_018.jpg,0.69237,1.02739
f42887_e_019.jpg,-1.87032,0.19339
f42887_e_020.jpg,1.15538,0.26882
f42887_e_021.jpg,-0.0065,0.04075
f42887_e_022.jpg,1.1516,0.07685
f42887_e_023.jpg,0.49083,-0.05477
f42887_e_024.jpg,-0.14824,-0.32771
f42887_e_025.jpg,1.07989,0.24042
f42887_e_026.jpg,-1.67725,1.34179
f42887_e_027.jpg,0.04924,0.27932
f42887_e_028.jpg,1.0803,-0.21238
f42887_e_029.jpg,-0.52098,-0.69225
f42887_e_030.jpg,-0.42474,-1.50165
f42887_e_031.jpg,-2.05,-1.15329
f42887_e_032.jpg,-1.75362,0.72246
f42887_e_033.jpg,0.81772,-1.95507
f42887_e_034.jpg,0.05714,0.34539
f42887_e_035.jpg,-0.97405,-1.36868
f42887_e_036.jpg,0.44519,0.33194
f42887_e_037.jpg,-0.94646,1.92928
f42887_e_038.jpg,-1.40786,-1.36037
f42887_e_039.jpg,0.44173,-0.93069
f42887_e_040.jpg,-1.23167,-0.39825
f42887_e_041.jpg,0.61616,0.99402
f42887_e_042.jpg,0.58155,-0.54526
f42887_e_043.jpg,-0.06546,-1.39679
f42887_e_044.jpg,0.63776,-1.11507
f42887_e_045.jpg,0.0318,0.24395
f42887_e_046.jpg,-0.98077,-0.15748
f42887_e_047.jpg,-1.21794,0.53698
f42887_e_048.jpg,1.45535,-1.96587
f42887_e_049.jpg,0.36186,0.43364
f42887_e_050.jpg,0.18044,0.53674
f42887_e_051.jpg,-0.89211,-2.30492
f42887_e_052.jpg,-0.93684,-1.27346
f42887_e_053.jpg,1.27944,-0.37329
f42887_e_054.jpg,-0.06487,0.51008
f42887_e_055.jpg,1.48041,-0.37772
f42887_e_056.jpg,0.39576,-0.75941
f42887_e_057.jpg,0.47445,-0.18338
f42887_e_058.jpg,-1.44112,0.78038
f42887_e_059.jpg,-1.10167,0.60003
f42887_e_060.jpg,0.24196,1.00184
f42887_e_061.jpg,0.84561,-0.73197
f42887_e_062.jpg,1.26021,-0.23414
f42887_e_063.jpg,-1.12196,0.05483
f42887_e_064.jpg,-0.29589,0.06595
f42887_e_065.jpg,-0.96867,1.97646
f42887_e_066.jpg,-0.21444,1.20238
f42887_e_067.jpg,0.40877,0.62205
f42887_e_068.jpg,0.92295,0.73967
f42887_e_069.jpg,-1.19079,-0.29353
f42887_e_070.jpg,0.98861,-0.20712
f42887_e_071.jpg,-0.29541,-0.51697
f42887_e_072.jpg,-0.60023,-0.20389
f42887_e_073.jpg,0.25217,-0.36142
f42887_e_074.jpg,-1.28089,0.22178
f42887_e_075.jpg,0.3136,-0.13772
f42887_e_076.jpg,0.8956,0.11125
f42887_e_077.jpg,-0.58828,0.79608
f42887_e_078.jpg,1.07764,-1.12886
f42887_e_079.jpg,0.91806,1.16417
f42887_e_080.jpg,-0.66434,1.53827
f42887_e_081.jpg,0.18538,0.40682
f42887_e_082.jpg,0.12743,-0.39818
f42887_e_083.jpg,-1.44049,0.03519
f42887_e_084.jpg,0.606,1.67505
f42887_e_085.jpg,0.58493,-1.1158
f42887_e_086.jpg,0.59696,1.60575
f42887_e_087.jpg,-0.57945,-1.2572
f42887_e_088.jpg,0.10921,1.40994
f42887_e_089.jpg,0.01547,-2.18193
f42887_e_090.jpg,0.18271,0.02278
f42887_e_091.jpg,-0.18065,-2.02478
f42887_e_092.jpg,-0.64226,1.72703
f42887_e_093.jpg,-0.30092,-1.47011
f42887_e_094.jpg,-0.22396,-1.55665
f42887_e_095.jpg,-0.75066,-1.55307
f42887_e_096.jpg,0.06345,0.92787
f42887_e_097.jpg,0.00551,-1.20739
f42887_e_098.jpg,1.25252,-0.56791
f42887_e_099.jpg,-0.4797,-1.89472
f42887_e_100.jpg,1.28399,-0.19974
f42887_e_101.jpg,-2.56618,-0.14149
f42887_e_102.jpg,1.05216,-0.29426
f42887_e_103.jpg,-0.50496,-1.75903
f42887_e_104.jpg,0.03126,1.70658
f42887_e_105.jpg,0.67312,-1.02938
f42887_e_106.jpg,1.11641,0.82318
f42887_e_107.jpg,-0.18917,-0.90638
f42887_e_108.jpg,0.31575,-0.38181
f42887_e_109.jpg,0.67093,-0.79624
f42887_e_110.jpg,-0.20558,-0.16263
f42887_e_111.jpg,-0.12886,-0.72269
f42887_e_112.jpg,1.23463,1.04594
f42887_e_113.jpg,0.113,1.36977
f42887_e_114.jpg,-0.81079,-0.4996
f42887_e_115.jpg,1.48791,-0.75081
f42887_e_116.jpg,-0.57062,0.09408
f42887_e_117.jpg,0.33127,-0.55114
f42887_e_118.jpg,-0.78297,1.20909
f42887_e_119.jpg,-0.24074,1.55248
f42887_e_120.jpg,-1.20689,0.54444
f42887_e_121.jpg,-0.0157,1.61481
f42887_e_122.jpg,-0.38168,-0.09723
f42887_e_123.jpg,-2.36844,0.65037
f42887_e_124.jpg,0.23154,-0.74191
f42887_e_125.jpg,0.14219,-1.63813
f42887_e_126.jpg,0.76308,-1.61132
f42887_e_127.jpg,0.41799,0.59538
f42887_e_128.jpg,-0.26171,-0.34188
f42887_e_129.jpg,-0.10053,1.16024
f42887_e_130.jpg,0.0138,-0.56717
f42887_e_131.jpg,-1.41554,-0.08177
f42887_e_132.jpg,-1.74752,-0.22686
f42887_e_133.jpg,0.68551,-0.257
f42887_e_134.jpg,-0.36792,-0.75834
f42887_e_135.jpg,1.21709,-0.266
f42887_e_136.jpg,0.94249,-0.38305
f42887_e_137.jpg,-1.02196,-1.10426
f42887_e_138.jpg,-1.72435,0.825
f42887_e_139.jpg,-0.67612,0.96212
f42887_e_140.jpg,2.28894,-0.15621
f42887_e_141.jpg,-0.81442,0.71975
f42887_e_142.jpg,1.36186,-0.05549
f42887_e_143.jpg,1.53492,-0.33763
f42887_e_144.jpg,1.32508,-0.28264
f42887_e_145.jpg,-0.02389,-0.7961
f42887_e_146.jpg,-1.58847,-2.15538
f42887_e_147.jpg,-1.64482,1.59105
f42887_e_148.jpg,1.66938,0.27217
f42887_e_149.jpg,-0.92741,2.03241
f42887_e_150.jpg,-0.16343,1.14083
f42887_e_151.jpg,0.72047,-1.0994
f42887_e_152.jpg,2.25988,-0.20788
f42887_e_153.jpg,0.3419,0.29923
f42887_e_154.jpg,-1.84086,0.3216
f42887_e_155.jpg,-0.02002,-1.37831
f42887_e_156.jpg,-0.9808,-1.49927
f42887_e_157.jpg,-0.4772,0.61218
f42887_e_158.jpg,0.54404,-0.5833
f42887_e_159.jpg,0.01738,0.88907
f42887_e_160.jpg,-0.77372,1.36736
f42887_e_161.jpg,-0.47634,0.3835
f42887_e_162.jpg,-0.2565,0.25717
f42887_e_163.jpg,0.37093,-1.78609
f42887_e_164.jpg,0.13182,2.49923
f42887_e_165.jpg,0.49492,-1.38657
f42887_e_166.jpg,0.39891,1.99727
f42887_e_167.jpg,-0.67927,-1.60878
f42887_e_168.jpg,-0.08674,0.26318
f42887_e_169.jpg,1.04626,-0.98209
f42887_e_170.jpg,-1.61723,-2.39338
f42887_e_171.jpg,-1.25373,0.45067
f42887_e_172.jpg,0.14284,0.00616
f42887_e_173.jpg,-1.43751,-0.70762
f42887_e_174.jpg,-0.89272,0.5875
f42887_e_175.jpg,0.31044,-1.01348
f42887_e_176.jpg,1.85256,0.22439
f42887_e_177.jpg,-1.5571,-1.11533
f42887_e_178.jpg,0.11965,1.82118
f42887_e_179.jpg,-0.95819,1.20207
f42887_e_180.jpg,0.65486,0.74847
f42887_e_181.jpg,-0.02675,-0.61425
f42887_e_182.jpg,0.89843,0.26273
f42887_e_183.jpg,0.57272,-0.15835
f42887_e_184.jpg,-1.15803,-0.77071
f42887_e_185.jpg,-0.57708,0.78848
f42887_e_186.jpg,-1.45374,-1.82454
f42887_e_187.jpg,-0.61588,-2.28063
f42887_e_188.jpg,2.40697,-0.02051
f42887_e_189.jpg,-1.21647,-1.34348
f42887_e_190.jpg,-0.35863,1.60279
f42887_e_191.jpg,-0.19165,1.51448
f42887_e_192.jpg,-0.57239,1.40061
f42887_e_193.jpg,0.07468,-0.10458
f42887_e_194.jpg,0.74796,1.93811
f42887_e_195.jpg,1.59681,-0.26903
f42887_e_196.jpg,-0.84519,0.28264
f42887_e_197.jpg,0.2741,0.83021
f42887_e_198.jpg,1.92782,0.17039
f42887_e_199.jpg,0.47847,-1.44227
f42887_e_200.jpg,0.99153,0.95265
f42887_e_201.jpg,0.2519,-0.48452
f42887_e_202.jpg,1.93178,1.07318
f42887_e_203.jpg,1.5334,-0.02016
f42887_e_204.jpg,0.48113,1.88369
f42887_e_205.jpg,0.64946,0.03069
f42887_e_206.jpg,0.09692,-0.19755
f42887_e_207.jpg,-1.82107,-1.0806
f42887_e_208.jpg,1.60998,0.33905
f42887_e_209.jpg,-0.97119,-1.67813
f42887_e_210.jpg,-1.2378,0.96801
f42887_e_211.jpg,1.30986,-0.38428
f42887_e_212.jpg,1.13029,-0.33974
f42887_e_213.jpg,-0.24074,-1.44618
f42887_e_214.jpg,-0.00875,0.82254
f42887_e_215.jpg,0.51,-0.86558
f42887_e_216.jpg,0.44196,-0.12355
f42887_e_217.jpg,-0.95496,0.4739
f42887_e_218.jpg,1.51567,0.73783
f42887_e_219.jpg,-1.09734,1.10262
f42887_e_220.jpg,0.83438,-0.44071
f42887_e_221.jpg,-0.20035,-0.14585
f42887_e_222.jpg,-1.44684,0.70214
f42887_e_223.jpg,-0.14347,-0.97942
f42887_e_224.jpg,0.59656,-0.61334
f42887_e_225.jpg,0.55595,-0.04006
f42887_e_226.jpg,0.37385,-0.69751
f42887_e_227.jpg,-0.09183,-0.57184
f42887_e_228.jpg,-1.02948,1.18391
f42887_e_229.jpg,-0.39746,1.74906
f42887_e_230.jpg,1.13368,-1.35833
f42887_e_231.jpg,-1.1053,0.51325
f42887_e_232.jpg,1.71122,0.00215
f42887_e_233.jpg,-0.70151,-0.7385
f42887_e_234.jpg,0.15412,-0.30183
f42887_e_235.jpg,-1.38156,-1.16282
f42887_e_236.jpg,-0.11559,0.11305
f42887_e_237.jpg,-0.85324,-1.68284
f42887_e_238.jpg,1.73778,1.28189
f42887_e_239.jpg,0.60466,-0.77486
f42887_e_240.jpg,-0.12815,-0.32562
f42887_e_241.jpg,-0.51359,-1.02227
f42887_e_242.jpg,0.54476,1.18655
f42887_e_243.jpg,0.50864,0.21339
f42887_e_244.jpg,-0.44161,0.92049
f42887_e_245.jpg,0.10703,-0.19854
f42887_e_246.jpg,0.83523,0.02261
f42887_e_247.jpg,0.81962,-0.60588
f42887_e_248.jpg,0.07238,-0.04468
f42887_e_249.jpg,0.2808,-0.16036
f42887_e_250.jpg,0.74248,-0.29085
f42887_e_251.jpg,-2.01191,1.1283
f42887_e_252.jpg,-0.8977,0.4594
f42887_e_253.jpg,-0.96107,-0.71102
f42887_e_254.jpg,0.32765,0.76667
f42887_e_255.jpg,-1.71361,0.3839
f42887_e_256.jpg,-0.08856,-0.32492
f42887_e_257.jpg,0.93626,-1.63175
f42887_e_258.jpg,-0.10168,1.26656
f42887_e_259.jpg,-0.89748,-1.1124
f42887_e_260.jpg,-1.47236,0.66165
f42887_e_261.jpg,-0.86716,-0.14446
f42887_e_262.jpg,0.79908,-0.51492
f42887_e_263.jpg,-1.44898,-0.02052
f42887_e_264.jpg,1.65316,0.01287
f42887_e_265.jpg,-0.56132,-0.59874
f42887_e_266.jpg,0.56992,0.67911
f42887_e_267.jpg,0.62072,-0.74278
f42887_e_268.jpg,1.17136,0.6981
f42887_e_269.jpg,0.57925,1.42479
f42887_e_270.jpg,0.18263,1.02373
f42887_e_271.jpg,-1.9852,-0.47971
f42887_e_272.jpg,-0.3048,-0.01938
f42887_e_273.jpg,0.81451,0.30735
f42887_e_274.jpg,0.45334,0.93567
f42887_e_275.jpg,0.00812,0.23795
f42887_e_276.jpg,0.85169,0.12305
f42887_e_277.jpg,0.58745,-0.05405
f42887_e_278.jpg,2.12619,-0.13745
f42887_e_279.jpg,0.37776,-0.57887
f42887_e_280.jpg,1.71926,0.68112
f42887_e_281.jpg,0.73837,0.70947
f42887_e_282.jpg,0.77203,1.53141
f42887_e_283.jpg,0.14331,0.28521
f42887_e_284.jpg,0.86918,0.62048
f42887_e_285.jpg,-0.20842,-0.48888
f42887_e_286.jpg,1.88382,0.44301
f42887_e_287.jpg,-2.21997,2.85542
f42887_e_288.jpg,-1.00424,0.23
f42887_e_289.jpg,-0.28665,0.56523
f42887_e_290.jpg,0.71736,-0.21903
f42887_e_291.jpg,-1.68104,0.21554
f42887_e_292.jpg,0.83666,-0.15689
f42887_e_293.jpg,0.49375,-1.15319
f42887_e_294.jpg,-0.97597,0.81907
f42887_e_295.jpg,1.9614,-0.30307
f42887_e_296.jpg,0.12321,-1.73733
f42887_e_297.jpg,0.38183,0.00592
f42887_e_298.jpg,-0.19512,1.02322
f42887_e_299.jpg,-0.83654,-1.10725